minTemp,maxTemp,minHumid,maxHumid,currentTemp,currentHumid,currentMonth,goalTemp,goalHumid,userDecision
20,26,30,45,25.1,44.8,10,0,0,0
20,26,25,50,-9.6,58.6,11,23,37,1
20,26,30,45,24.6,23.5,10,23,37,1
23,26,30,50,24.2,44.6,2,0,0,0
20,26,25,45,39.0,61.4,7,23,35,1
24,27,30,50,18.3,55.7,1,25,40,1
20,25,30,50,21.0,31.5,12,0,0,0
19,26,30,40,47.3,42.5,8,22,35,1
18,27,40,50,28.0,16.0,5,22,45,1
20,26,25,45,20.0,33.6,7,0,0,1
20,26,25,40,-11.7,44.5,9,23,32,1
20,26,25,45,34.9,53.7,7,23,35,1
23,26,30,50,23.7,37.3,2,0,0,0
23,26,30,50,-9.2,67.4,2,24,40,1
20,26,30,50,13.3,27.0,3,23,40,1
20,25,35,50,22.0,43.0,6,0,0,0
20,26,30,50,5.9,53.4,3,23,40,1
20,25,35,50,24.3,15.2,6,22,42,1
19,26,30,50,22.0,32.6,4,0,0,0
19,26,30,50,43.5,51.0,4,22,40,1
24,27,30,50,16.4,59.0,1,25,40,1
20,26,30,50,23.0,47.7,3,0,0,1
20,26,30,45,13.7,47.2,10,23,37,1
20,25,30,50,16.8,24.2,12,22,40,1
20,26,25,40,25.2,32.3,9,0,0,0
24,27,30,50,8.2,58.7,1,25,40,1
20,26,30,50,23.1,54.9,3,23,40,1
20,25,30,50,24.7,38.7,12,0,0,0
20,25,35,50,45.1,76.3,6,22,42,1
18,27,40,50,26.2,65.9,5,22,45,1
20,26,30,45,21.7,40.1,10,0,0,0
18,27,40,50,33.0,42.1,5,22,45,1
19,26,30,50,26.7,52.7,4,22,40,1
19,26,30,50,23.3,40.7,4,0,0,1
20,26,25,50,-5.2,54.6,11,23,37,1
20,26,25,40,12.8,27.5,9,23,32,1
20,26,30,50,21.0,35.9,3,0,0,0
19,26,30,50,49.5,76.6,4,22,40,1
20,25,35,50,20.3,57.7,6,22,42,1
19,26,30,40,25.8,30.1,8,0,0,1
20,26,25,50,-12.5,56.6,11,23,37,1
23,26,30,50,22.5,54.6,2,24,40,1
20,26,30,45,21.7,34.8,10,0,0,0
20,26,25,40,-7.2,48.8,9,23,32,1
20,26,25,45,31.9,9.8,7,23,35,1
20,25,30,50,22.8,31.5,12,0,0,0
18,27,40,50,40.9,45.3,5,22,45,1
20,26,25,45,29.9,47.2,7,23,35,1
20,25,30,50,22.5,45.0,12,0,0,1
20,26,25,50,3.3,59.7,11,23,37,1
23,26,30,50,15.3,52.9,2,24,40,1
20,26,25,50,21.2,47.4,11,0,0,0
20,26,25,40,-0.6,35.4,9,23,32,1
20,26,25,45,31.8,0.6,7,23,35,1
20,26,25,45,24.3,34.1,7,0,0,1
19,26,30,50,25.8,57.2,4,22,40,1
20,26,25,50,17.4,15.3,11,23,37,1
20,26,25,50,22.7,40.1,11,0,0,0
18,27,40,50,52.6,59.6,5,22,45,1
20,26,30,50,7.7,53.2,3,23,40,1
24,27,30,50,24.3,33.6,1,0,0,0
20,25,35,50,47.4,53.7,6,22,42,1
19,26,30,50,22.1,67.0,4,22,40,1
19,26,30,40,21.4,36.2,8,0,0,1
24,27,30,50,-1.7,52.5,1,25,40,1
19,26,30,40,23.5,55.4,8,22,35,1
20,26,25,40,22.5,35.7,9,0,0,0
20,25,30,50,-5.1,56.1,12,22,40,1
20,26,25,45,32.0,56.9,7,23,35,1
20,26,25,50,24.0,39.6,11,0,0,1
19,26,30,40,30.8,40.4,8,22,35,1
23,26,30,50,12.9,53.3,2,24,40,1
23,26,30,50,24.9,35.9,2,0,0,0
20,26,30,45,-13.7,45.4,10,23,37,1
20,26,25,40,13.0,18.0,9,23,32,1
23,26,30,50,25.3,36.0,2,0,0,0
20,26,25,40,-6.0,44.0,9,23,32,1
19,26,30,40,24.6,44.0,8,22,35,1
20,26,25,50,25.5,36.1,11,0,0,0
20,25,35,50,39.8,74.9,6,22,42,1
23,26,30,50,15.6,55.1,2,24,40,1
20,25,30,50,20.9,47.6,12,0,0,0
20,26,25,40,-7.8,48.6,9,23,32,1
20,26,30,45,21.4,43.5,10,23,37,1
23,26,30,50,23.4,30.8,2,0,0,0
20,25,30,50,-13.8,55.3,12,22,40,1
20,25,35,50,23.0,18.0,6,22,42,1
20,26,30,50,22.9,32.0,3,0,0,0
20,26,30,45,3.1,50.9,10,23,37,1
20,25,35,50,15.6,55.3,6,22,42,1
20,26,25,45,25.7,45.0,7,0,0,0
23,26,30,50,-10.0,66.2,2,24,40,1
20,26,25,45,26.5,16.9,7,23,35,1
18,27,40,50,22.4,43.0,5,0,0,0
20,26,25,50,16.9,56.9,11,23,37,1
19,26,30,50,26.6,58.5,4,22,40,1
18,27,40,50,25.2,48.4,5,0,0,0
20,26,30,45,11.1,47.3,10,23,37,1
19,26,30,50,27.0,54.5,4,22,40,1
23,26,30,50,23.3,31.4,2,0,0,1
24,27,30,50,-2.1,21.0,1,25,40,1
19,26,30,50,24.3,53.0,4,22,40,1
20,26,30,45,20.3,44.2,10,0,0,0
20,25,30,50,7.2,51.8,12,22,40,1
19,26,30,50,30.7,61.5,4,22,40,1
20,26,30,50,21.1,47.6,3,0,0,0
20,26,25,50,14.7,53.4,11,23,37,1
20,26,25,40,10.0,15.1,9,23,32,1
19,26,30,50,19.4,43.1,4,0,0,0
20,26,30,50,-0.8,21.1,3,23,40,1
20,26,25,40,10.2,15.2,9,23,32,1
23,26,30,50,25.2,46.8,2,0,0,1
20,26,25,40,-4.0,42.5,9,23,32,1
19,26,30,50,29.3,5.2,4,22,40,1
20,25,30,50,21.7,49.6,12,0,0,1
20,26,25,50,-9.0,54.4,11,23,37,1
19,26,30,40,18.3,54.2,8,22,35,1
19,26,30,50,25.6,33.7,4,0,0,0
20,25,35,50,26.9,55.4,6,22,42,1
20,25,30,50,24.7,28.9,12,22,40,1
18,27,40,50,22.3,44.0,5,0,0,0
19,26,30,40,38.4,52.9,8,22,35,1
23,26,30,50,25.6,59.6,2,24,40,1
23,26,30,50,24.8,33.7,2,0,0,0
